Invoice_ID,Branch,City,Customer_type,Gender,Product_line,Unit_price,Quantity,Total,Date,Time,Payment,Payments_fee,Gross_income,Cost_price,Unit_cost
750-67-8428,A,Yangon,Member,Female,Health and beauty,78.42,7,548.97,2019-01-05 00:00:00.000000000,2023-11-05 13:08:00.000000000,Ewallet,8.23,120.77,428.2,61.17
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,28.75,6,172.49,2019-01-05 00:00:00.000000000,2023-11-05 20:54:00.000000000,Credit card,5.17,43.12,129.37,21.56
217-58-1179,A,Yangon,Member,Male,Home and lifestyle,65.78,4,263.13,2019-01-05 00:00:00.000000000,2023-11-05 11:25:00.000000000,Cash,0.0,47.36,215.77,53.94
144-51-6085,A,Yangon,Member,Male,Home and lifestyle,74.28,4,297.11,2019-01-05 00:00:00.000000000,2023-11-05 16:05:00.000000000,Credit card,8.91,53.48,243.63,60.91
843-01-4703,B,Mandalay,Member,Female,Home and lifestyle,37.15,9,334.34,2019-01-05 00:00:00.000000000,2023-11-05 19:50:00.000000000,Credit card,10.03,60.18,274.16,30.46
573-98-8548,C,Naypyitaw,Member,Female,Fashion accessories,33.5,1,33.5,2019-01-05 00:00:00.000000000,2023-11-05 12:40:00.000000000,Ewallet,0.5,8.38,25.12,25.12
209-61-0206,A,Yangon,Normal,Female,Home and lifestyle,45.06,5,225.28,2019-01-05 00:00:00.000000000,2023-11-05 17:29:00.000000000,Ewallet,3.38,40.55,184.73,36.95
339-12-4827,B,Mandalay,Member,Female,Fashion accessories,77.66,1,77.66,2019-01-05 00:00:00.000000000,2023-11-05 11:32:00.000000000,Credit card,2.33,19.42,58.24,58.24
841-18-8232,B,Mandalay,Normal,Female,Food and beverages,74.76,1,74.76,2019-01-05 00:00:00.000000000,2023-11-05 20:40:00.000000000,Credit card,2.24,8.97,65.79,65.79
801-88-0346,C,Naypyitaw,Normal,Female,Fashion accessories,79.86,3,239.59,2019-01-05 00:00:00.000000000,2023-11-05 20:30:00.000000000,Credit card,7.19,59.9,179.69,59.9
433-08-7822,C,Naypyitaw,Normal,Female,Health and beauty,82.83,7,579.84,2019-01-05 00:00:00.000000000,2023-11-05 19:48:00.000000000,Ewallet,8.7,127.56,452.28,64.61
489-82-1237,A,Yangon,Normal,Female,Electronic accessories,98.57,7,690.02,2019-01-05 00:00:00.000000000,2023-11-05 11:51:00.000000000,Credit card,20.7,103.5,586.52,83.79
628-34-3385,C,Naypyitaw,Normal,Male,Clothes and accessories,15.4,8,123.19,2019-01-05 00:00:00.000000000,2023-11-05 21:01:00.000000000,Credit card,2.65,8.62,114.57,14.32
573-98-8544,C,Naypyitaw,Member,Female,Clothes and accessories,16.05,1,16.05,2019-01-05 00:00:00.000000000,2023-11-05 12:43:00.000000000,Ewallet,2.79,1.12,14.93,14.93
339-12-4828,B,Mandalay,Member,Female,Clothes and accessories,17.84,2,35.67,2019-01-05 00:00:00.000000000,2023-11-05 11:35:00.000000000,Credit card,1.67,2.5,33.17,16.59
801-88-0340,C,Naypyitaw,Normal,Female,Clothes and accessories,55.92,2,111.84,2019-01-05 00:00:00.000000000,2023-11-05 20:39:00.000000000,Credit card,9.41,7.83,104.01,52.01
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,93.95,10,939.54,2019-01-06 00:00:00.000000000,2023-11-05 12:46:00.000000000,Credit card,28.19,112.74,826.8,82.68
704-11-6354,A,Yangon,Member,Male,Home and lifestyle,61.85,8,494.76,2019-01-06 00:00:00.000000000,2023-11-05 11:23:00.000000000,Cash,0.0,89.06,405.7,50.71
490-29-1201,A,Yangon,Normal,Female,Sports and travel,16.11,1,16.11,2019-01-06 00:00:00.000000000,2023-11-05 11:09:00.000000000,Cash,0.0,2.42,13.69,13.69
834-25-9262,C,Naypyitaw,Normal,Female,Fashion accessories,85.77,4,343.06,2019-01-06 00:00:00.000000000,2023-11-05 12:12:00.000000000,Cash,0.0,85.77,257.29,64.32
662-72-2873,A,Yangon,Normal,Female,Food and beverages,42.99,5,214.94,2019-01-06 00:00:00.000000000,2023-11-05 13:58:00.000000000,Ewallet,3.22,25.79,189.15,37.83
826-58-8051,B,Mandalay,Normal,Male,Home and lifestyle,65.3,4,261.2,2019-01-06 00:00:00.000000000,2023-11-05 19:46:00.000000000,Ewallet,3.92,47.02,214.18,53.55
729-06-2010,B,Mandalay,Member,Male,Health and beauty,84.49,9,760.44,2019-01-06 00:00:00.000000000,2023-11-05 11:18:00.000000000,Cash,0.0,167.3,593.14,65.9
852-82-2749,A,Yangon,Normal,Male,Sports and travel,67.82,4,271.28,2019-01-06 00:00:00.000000000,2023-11-05 13:35:00.000000000,Ewallet,4.07,40.69,230.59,57.65
846-10-0341,A,Yangon,Normal,Female,Fashion accessories,44.7,7,312.89,2019-01-06 00:00:00.000000000,2023-11-05 11:51:00.000000000,Cash,0.0,78.22,234.67,33.52
834-25-9265,C,Naypyitaw,Normal,Female,Clothes and accessories,32.91,5,164.53,2019-01-06 00:00:00.000000000,2023-11-05 12:16:00.000000000,Cash,2.02,11.52,153.01,30.6
846-10-0344,A,Yangon,Normal,Female,Clothes and accessories,16.98,8,135.85,2019-01-06 00:00:00.000000000,2023-11-05 11:54:00.000000000,Cash,0.21,9.51,126.34,15.79
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,71.53,1,71.53,2019-01-07 00:00:00.000000000,2023-11-05 12:28:00.000000000,Ewallet,1.07,10.73,60.8,60.8
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,102.49,6,614.94,2019-01-07 00:00:00.000000000,2023-11-05 15:01:00.000000000,Ewallet,9.22,153.74,461.2,76.87
799-71-1548,A,Yangon,Member,Male,Electronic accessories,81.61,4,326.42,2019-01-07 00:00:00.000000000,2023-11-05 16:11:00.000000000,Credit card,9.79,48.96,277.46,69.37
126-54-1082,A,Yangon,Member,Female,Home and lifestyle,22.62,9,203.55,2019-01-07 00:00:00.000000000,2023-11-05 11:44:00.000000000,Credit card,6.11,36.64,166.91,18.55
566-19-5475,B,Mandalay,Normal,Male,Fashion accessories,50.37,7,352.58,2019-01-07 00:00:00.000000000,2023-11-05 20:52:00.000000000,Cash,0.0,88.15,264.43,37.78
526-86-8552,C,Naypyitaw,Member,Female,Home and lifestyle,22.91,10,229.11,2019-01-07 00:00:00.000000000,2023-11-05 17:36:00.000000000,Cash,0.0,41.24,187.87,18.79
889-04-9723,B,Mandalay,Member,Female,Food and beverages,93.6,4,374.39,2019-01-07 00:00:00.000000000,2023-11-05 12:20:00.000000000,Credit card,11.23,44.93,329.46,82.37
541-48-8554,A,Yangon,Normal,Male,Sports and travel,64.0,9,575.98,2019-01-07 00:00:00.000000000,2023-11-05 12:08:00.000000000,Credit card,17.28,86.4,489.58,54.4
390-31-6381,C,Naypyitaw,Normal,Male,Food and beverages,28.58,3,85.74,2019-01-07 00:00:00.000000000,2023-11-05 12:37:00.000000000,Cash,0.0,10.29,75.45,25.15
566-19-5475,B,Mandalay,Normal,Male,Clothes and accessories,10.01,7,70.1,2019-01-07 00:00:00.000000000,2023-11-05 21:02:00.000000000,Cash,0.0,4.91,65.19,9.31
109-28-2518,B,Mandalay,Member,Female,Clothes and accessories,56.14,5,280.72,2019-01-07 00:00:00.000000000,2023-11-05 15:02:00.000000000,Ewallet,0.52,19.65,261.07,52.21
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,33.32,9,299.85,2019-01-08 00:00:00.000000000,2023-11-05 16:17:00.000000000,Credit card,9.0,74.96,224.89,24.99
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,71.97,8,575.74,2019-01-08 00:00:00.000000000,2023-11-05 15:57:00.000000000,Ewallet,8.64,69.09,506.65,63.33
571-94-0759,B,Mandalay,Member,Female,Food and beverages,78.33,10,783.3,2019-01-08 00:00:00.000000000,2023-11-05 20:55:00.000000000,Cash,0.0,94.0,689.3,68.93
750-57-9686,C,Naypyitaw,Normal,Female,Home and lifestyle,47.65,4,190.6,2019-01-08 00:00:00.000000000,2023-11-05 13:48:00.000000000,Credit card,5.72,34.31,156.29,39.07
192-98-7397,C,Naypyitaw,Normal,Male,Fashion accessories,13.42,1,13.42,2019-01-08 00:00:00.000000000,2023-11-05 14:11:00.000000000,Ewallet,0.2,3.36,10.06,10.06
674-15-9296,A,Yangon,Normal,Male,Sports and travel,39.0,5,194.99,2019-01-08 00:00:00.000000000,2023-11-05 13:05:00.000000000,Ewallet,2.92,29.25,165.74,33.15
387-49-4215,B,Mandalay,Member,Female,Sports and travel,50.93,3,152.78,2019-01-08 00:00:00.000000000,2023-11-05 12:50:00.000000000,Cash,0.0,22.92,129.86,43.29
484-22-8230,C,Naypyitaw,Member,Female,Fashion accessories,54.48,7,381.39,2019-01-08 00:00:00.000000000,2023-11-05 20:08:00.000000000,Cash,0.0,95.35,286.04,40.86
241-96-5076,B,Mandalay,Member,Female,Home and lifestyle,51.56,2,103.11,2019-01-08 00:00:00.000000000,2023-11-05 12:58:00.000000000,Credit card,3.09,18.56,84.55,42.28
767-97-4650,B,Mandalay,Member,Female,Sports and travel,68.07,2,136.14,2019-01-08 00:00:00.000000000,2023-11-05 11:59:00.000000000,Credit card,4.08,20.42,115.72,57.86
442-44-6497,C,Naypyitaw,Member,Male,Home and lifestyle,58.35,3,175.05,2019-01-08 00:00:00.000000000,2023-11-05 11:42:00.000000000,Credit card,5.25,31.51,143.54,47.85
457-13-1708,B,Mandalay,Member,Male,Fashion accessories,68.49,10,684.92,2019-01-08 00:00:00.000000000,2023-11-05 19:07:00.000000000,Credit card,20.55,171.23,513.69,51.37
257-60-7754,A,Yangon,Normal,Female,Electronic accessories,52.74,4,210.97,2019-01-08 00:00:00.000000000,2023-11-05 17:12:00.000000000,Cash,0.0,31.65,179.32,44.83
845-94-6841,C,Naypyitaw,Member,Female,Food and beverages,76.52,9,688.72,2019-01-08 00:00:00.000000000,2023-11-05 19:38:00.000000000,Cash,0.0,82.65,606.07,67.34
840-76-5966,A,Yangon,Member,Male,Sports and travel,13.4,2,26.8,2019-01-08 00:00:00.000000000,2023-11-05 18:06:00.000000000,Ewallet,0.4,4.02,22.78,11.39
124-31-1458,A,Yangon,Member,Female,Electronic accessories,83.57,3,250.71,2019-01-08 00:00:00.000000000,2023-11-05 14:30:00.000000000,Cash,0.0,37.61,213.1,71.03
631-34-1880,C,Naypyitaw,Member,Male,Food and beverages,25.53,3,76.58,2019-01-08 00:00:00.000000000,2023-11-05 19:09:00.000000000,Credit card,2.3,9.19,67.39,22.46
490-95-0021,B,Mandalay,Member,Female,Food and beverages,34.87,10,348.71,2019-01-08 00:00:00.000000000,2023-11-05 14:25:00.000000000,Ewallet,5.23,41.85,306.86,30.69
192-98-7395,C,Naypyitaw,Normal,Male,Clothes and accessories,77.41,2,154.82,2019-01-08 00:00:00.000000000,2023-11-05 14:20:00.000000000,Ewallet,0.11,10.84,143.98,71.99
189-08-9153,C,Naypyitaw,Normal,Female,Clothes and accessories,14.2,9,127.84,2019-01-08 00:00:00.000000000,2023-11-05 16:19:00.000000000,Credit card,3.07,8.95,118.89,13.21
484-22-8237,C,Naypyitaw,Member,Female,Clothes and accessories,33.15,5,165.73,2019-01-08 00:00:00.000000000,2023-11-05 20:12:00.000000000,Cash,2.19,11.6,154.13,30.83
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,51.49,9,463.43,2019-01-09 00:00:00.000000000,2023-11-05 14:20:00.000000000,Credit card,13.9,115.86,347.57,38.62
554-42-2417,C,Naypyitaw,Normal,Female,Sports and travel,100.21,10,1002.12,2019-01-09 00:00:00.000000000,2023-11-05 13:45:00.000000000,Cash,0.0,150.32,851.8,85.18
370-96-0655,C,Naypyitaw,Normal,Female,Fashion accessories,51.79,6,310.72,2019-01-09 00:00:00.000000000,2023-11-05 13:46:00.000000000,Ewallet,4.66,77.68,233.04,38.84
343-75-9322,B,Mandalay,Member,Female,Sports and travel,12.44,8,99.54,2019-01-09 00:00:00.000000000,2023-11-05 16:34:00.000000000,Cash,0.0,14.93,84.61,10.58
288-62-1085,A,Yangon,Member,Male,Fashion accessories,40.47,5,202.34,2019-01-09 00:00:00.000000000,2023-11-05 13:34:00.000000000,Ewallet,3.04,50.59,151.75,30.35
305-89-2768,B,Mandalay,Member,Female,Home and lifestyle,23.0,3,68.99,2019-01-09 00:00:00.000000000,2023-11-05 18:43:00.000000000,Ewallet,1.03,12.42,56.57,18.86
867-47-1948,C,Naypyitaw,Normal,Female,Home and lifestyle,16.59,10,165.9,2019-01-09 00:00:00.000000000,2023-11-05 12:07:00.000000000,Cash,0.0,29.86,136.04,13.6
189-40-5216,C,Naypyitaw,Normal,Male,Electronic accessories,101.19,7,708.32,2019-01-09 00:00:00.000000000,2023-11-05 11:40:00.000000000,Cash,0.0,106.25,602.07,86.01
263-10-3917,C,Naypyitaw,Member,Male,Clothes and accessories,14.52,10,145.2,2019-01-09 00:00:00.000000000,2023-11-05 14:26:00.000000000,Credit card,7.01,10.16,135.04,13.5
370-96-0657,C,Naypyitaw,Normal,Female,Clothes and accessories,23.35,6,140.09,2019-01-09 00:00:00.000000000,2023-11-05 13:47:00.000000000,Ewallet,1.97,9.81,130.28,21.71
665-32-9167,A,Yangon,Member,Female,Health and beauty,38.08,2,76.15,2019-01-10 00:00:00.000000000,2023-11-05 17:15:00.000000000,Credit card,2.28,16.75,59.4,29.7
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,87.97,8,703.75,2019-01-10 00:00:00.000000000,2023-11-05 14:49:00.000000000,Cash,0.0,105.56,598.19,74.77
873-51-0671,A,Yangon,Member,Female,Sports and travel,23.08,7,161.55,2019-01-10 00:00:00.000000000,2023-11-05 16:42:00.000000000,Ewallet,2.42,24.23,137.32,19.62
744-02-5987,A,Yangon,Member,Male,Home and lifestyle,82.3,6,493.79,2019-01-10 00:00:00.000000000,2023-11-05 14:16:00.000000000,Ewallet,7.41,88.88,404.91,67.49
603-07-0961,C,Naypyitaw,Member,Male,Electronic accessories,78.53,5,392.65,2019-01-10 00:00:00.000000000,2023-11-05 11:34:00.000000000,Cash,0.0,58.9,333.75,66.75
241-11-2261,B,Mandalay,Normal,Female,Fashion accessories,83.85,7,586.97,2019-01-10 00:00:00.000000000,2023-11-05 10:33:00.000000000,Credit card,17.61,146.74,440.23,62.89
887-42-0517,C,Naypyitaw,Normal,Female,Sports and travel,87.3,7,611.08,2019-01-10 00:00:00.000000000,2023-11-05 10:31:00.000000000,Credit card,18.33,91.66,519.42,74.2
226-34-0034,B,Mandalay,Normal,Female,Electronic accessories,14.47,4,57.88,2019-01-10 00:00:00.000000000,2023-11-05 11:10:00.000000000,Ewallet,0.87,8.68,49.2,12.3
577-34-7579,C,Naypyitaw,Member,Male,Food and beverages,53.01,9,477.13,2019-01-10 00:00:00.000000000,2023-11-05 17:16:00.000000000,Cash,0.0,57.26,419.87,46.65
241-11-2262,B,Mandalay,Normal,Female,Clothes and accessories,31.8,8,254.39,2019-01-10 00:00:00.000000000,2023-11-05 10:42:00.000000000,Credit card,7.23,17.81,236.58,29.57
746-68-6593,C,Naypyitaw,Member,Female,Sports and travel,91.52,2,183.04,2019-01-11 00:00:00.000000000,2023-11-05 14:29:00.000000000,Credit card,5.49,27.46,155.58,77.79
478-06-7835,A,Yangon,Normal,Male,Fashion accessories,94.17,1,94.17,2019-01-11 00:00:00.000000000,2023-11-05 11:20:00.000000000,Ewallet,1.41,23.54,70.63,70.63
540-11-4336,A,Yangon,Normal,Male,Food and beverages,26.19,9,235.68,2019-01-11 00:00:00.000000000,2023-11-05 16:49:00.000000000,Credit card,7.07,28.28,207.4,23.04
289-15-7034,A,Yangon,Member,Male,Sports and travel,86.45,4,345.79,2019-01-11 00:00:00.000000000,2023-11-05 10:37:00.000000000,Credit card,10.37,51.87,293.92,73.48
732-67-5346,A,Yangon,Normal,Male,Food and beverages,14.48,5,72.4,2019-01-11 00:00:00.000000000,2023-11-05 19:07:00.000000000,Credit card,2.17,8.69,63.71,12.74
130-67-4723,A,Yangon,Member,Male,Food and beverages,50.93,6,305.55,2019-01-11 00:00:00.000000000,2023-11-05 13:57:00.000000000,Ewallet,4.58,36.67,268.88,44.81
592-46-1692,C,Naypyitaw,Member,Female,Food and beverages,38.61,7,270.26,2019-01-11 00:00:00.000000000,2023-11-05 20:10:00.000000000,Cash,0.0,32.43,237.83,33.98
406-46-7107,A,Yangon,Normal,Female,Home and lifestyle,101.35,6,608.08,2019-01-11 00:00:00.000000000,2023-11-05 11:52:00.000000000,Cash,0.0,109.45,498.63,83.11
478-06-7832,A,Yangon,Normal,Male,Clothes and accessories,27.89,3,83.68,2019-01-11 00:00:00.000000000,2023-11-05 11:23:00.000000000,Ewallet,0.71,5.86,77.82,25.94
381-20-0914,A,Yangon,Member,Female,Fashion accessories,21.01,9,189.09,2019-01-12 00:00:00.000000000,2023-11-05 15:48:00.000000000,Credit card,5.67,47.27,141.82,15.76
704-48-3927,A,Yangon,Member,Male,Electronic accessories,93.1,10,931.04,2019-01-12 00:00:00.000000000,2023-11-05 14:50:00.000000000,Ewallet,13.97,139.66,791.38,79.14
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,59.98,7,419.83,2019-01-12 00:00:00.000000000,2023-11-05 12:02:00.000000000,Credit card,12.59,62.97,356.86,50.98
848-07-1692,B,Mandalay,Normal,Female,Health and beauty,60.08,2,120.16,2019-01-12 00:00:00.000000000,2023-11-05 17:13:00.000000000,Ewallet,1.8,26.44,93.72,46.86
296-11-7041,B,Mandalay,Member,Female,Health and beauty,28.42,1,28.42,2019-01-12 00:00:00.000000000,2023-11-05 20:07:00.000000000,Credit card,0.85,6.25,22.17,22.17
647-50-1224,A,Yangon,Normal,Female,Fashion accessories,30.89,10,308.91,2019-01-12 00:00:00.000000000,2023-11-05 16:23:00.000000000,Ewallet,4.63,77.23,231.68,23.17
852-62-7105,B,Mandalay,Normal,Female,Fashion accessories,87.41,10,874.13,2019-01-12 00:00:00.000000000,2023-11-05 11:25:00.000000000,Credit card,26.22,218.53,655.6,65.56
751-41-9720,C,Naypyitaw,Normal,Male,Home and lifestyle,102.38,10,1023.75,2019-01-12 00:00:00.000000000,2023-11-05 16:18:00.000000000,Ewallet,15.36,184.28,839.47,83.95
197-77-7132,B,Mandalay,Member,Male,Electronic accessories,96.14,8,769.1,2019-01-12 00:00:00.000000000,2023-11-05 18:22:00.000000000,Ewallet,11.54,115.37,653.73,81.72
751-15-6198,B,Mandalay,Normal,Male,Sports and travel,24.16,6,144.96,2019-01-12 00:00:00.000000000,2023-11-05 16:45:00.000000000,Ewallet,2.17,21.74,123.22,20.54
533-66-5566,B,Mandalay,Normal,Female,Home and lifestyle,53.62,7,375.36,2019-01-12 00:00:00.000000000,2023-11-05 11:42:00.000000000,Cash,0.0,67.56,307.8,43.97
381-20-0912,A,Yangon,Member,Male,Clothes and accessories,15.29,9,137.61,2019-01-12 00:00:00.000000000,2023-11-05 15:48:00.000000000,Credit card,2.8,9.63,127.98,14.22
647-50-1223,A,Yangon,Normal,Male,Clothes and accessories,3.1,12,37.22,2019-01-12 00:00:00.000000000,2023-11-05 16:27:00.000000000,Ewallet,2.15,2.61,34.61,2.88
852-62-7101,B,Mandalay,Normal,Male,Clothes and accessories,6.43,12,77.11,2019-01-12 00:00:00.000000000,2023-11-05 11:30:00.000000000,Credit card,11.92,5.4,71.71,5.98
556-86-3147,A,Yangon,Member,Female,Clothes and accessories,43.12,2,86.23,2019-01-12 00:00:00.000000000,2023-11-05 19:39:00.000000000,Cash,1.18,6.04,80.19,40.1
667-23-5913,A,Yangon,Normal,Female,Clothes and accessories,37.73,4,150.91,2019-01-12 00:00:00.000000000,2023-11-05 12:58:00.000000000,Ewallet,2.09,10.56,140.35,35.09
359-90-3663,B,Mandalay,Normal,Female,Clothes and accessories,140.77,3,422.32,2019-01-12 00:00:00.000000000,2023-11-05 18:10:00.000000000,Credit card,10.81,29.56,392.76,130.92
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,43.73,10,437.33,2019-01-13 00:00:00.000000000,2023-11-05 17:04:00.000000000,Credit card,13.12,65.6,371.73,37.17
556-86-3144,C,Naypyitaw,Member,Female,Fashion accessories,78.0,1,78.0,2019-01-13 00:00:00.000000000,2023-11-05 19:30:00.000000000,Cash,0.0,19.5,58.5,58.5
459-50-7686,A,Yangon,Normal,Male,Electronic accessories,24.63,6,147.8,2019-01-13 00:00:00.000000000,2023-11-05 19:14:00.000000000,Ewallet,2.22,22.17,125.63,20.94
